ensembl_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSG00000235770,141.43615556094286,1.5624980317217978,0.963889573549194,0.0028424113094139766,0.011161083228466161,LINC00607
ENSG00000236039,139.55433300122914,1.817510581619847,1.4488027499867773,0.003544781775236809,0.013606002449295957,AC017060.1
ENSG00000236098,70.47441582604444,10.202054108789252,3.1900188429960386,1.7857679093183e-8,1.5158332671106257e-7,RP11-148B18.4
ENSG00000236212,130.86862856856953,1.8344276975220661,1.2498375580100576,0.0029022534547332762,0.01138334774821143,AC009262.2
ENSG00000236352,728.5158826524749,3.4269023840796318,0.37153848437627335,1.5066382253990263e-21,3.5816019855851493e-20,AC005220.3
ENSG00000236975,463.0947036388474,1.5085909053296416,0.4602798390161693,5.51788247366331e-5,3.00082335485736e-4,RP5-1065P14.2
ENSG00000237450,44.256460477449714,9.144702182186908,3.3341515930513177,4.7170657149198075e-6,2.998116499705067e-5,RPL23AP71
ENSG00000237807,4414.2751334122695,2.4365987986283573,0.21701516746151386,1.798665040871934e-30,6.720431899257846e-29,RP11-400K9.4
ENSG00000238117,815.9620161736661,1.8627430746021563,0.5907889448194726,7.455111813815215e-5,3.965420215762922e-4,AP004372.1
ENSG00000238152,33.50842950744912,8.362973084441826,3.54258181730775,7.315481926885887e-5,3.897636445936974e-4,OR7E140P
ENSG00000239040,35.28351307324743,8.526993866406764,3.4864365422717953,4.424629318082267e-5,2.4436937196741193e-4,Y_RNA
ENSG00000239265,39.855711845770976,8.859208282255036,3.4045475316943774,1.5201861415082444e-5,8.97535256915002e-5,CLRN1-AS1
ENSG00000239500,1012.5587461794051,2.1522807866731344,0.3139559412796681,4.00861232150561e-13,5.221889611404807e-12,RP1-169K13.3
ENSG00000239614,56.63132785510309,9.59509288280146,3.355769877171676,1.8433801353012825e-6,1.2347380868176374e-5,HMGN1P7
ENSG00000240766,34.06470930011251,8.424472636713771,3.516314631311305,5.972647988075207e-5,3.2281680340159294e-4,PLCXD2-AS1
ENSG00000240891,3333.4347441027758,2.47062469436961,0.19718335343907242,3.0047754795574617e-37,1.5422613297191357e-35,PLCXD2
ENSG00000241532,36.13237996841987,8.574976537845787,3.485287099123227,4.063907012548498e-5,2.252607703834032e-4,AGGF1P3
ENSG00000241749,42.082107056168795,8.993328023775067,3.3798509744886864,9.684224164442113e-6,5.879600024134351e-5,RPSAP52
ENSG00000242291,52.82498925608966,9.570125681177357,3.2620500869085904,6.718560850216651e-7,4.7701510689169475e-6,RPL36AP51
ENSG00000243024,459.1934520049047,1.9411278314890665,0.5346473692117685,1.3601601232441489e-5,8.091686932849582e-5,RPS11P6
ENSG00000243069,496.23898146149793,1.715427838135872,0.5967227118790585,1.7592276069033013e-4,8.799641973412032e-4,ARHGEF26-AS1
ENSG00000243176,587.61526054855,1.7953341429454708,0.48480487622884555,1.0522497815588655e-5,6.361081511318457e-5,RP11-550I24.2
ENSG00000243955,3220.551659660282,2.176064135915693,0.2649040698322507,1.2635438365429993e-17,2.33446861529245e-16,GSTA1
ENSG00000244067,1006.6291377127295,2.1017138847410273,0.3515104901706426,1.239191030422289e-10,1.309943398635516e-9,GSTA2
ENSG00000245017,709.1979444619338,1.9739567410264693,0.3792024373924353,1.0259667785618577e-8,8.968663840740019e-8,RP11-181C3.1
ENSG00000246375,412.68758548572595,2.0145637454764325,0.5122789162835466,3.946805604471293e-6,2.5349970450786663e-5,RP11-10L7.1
ENSG00000246627,37.106884014218856,8.625743668457307,3.487237867718522,3.774370601624534e-5,2.1050618017531248e-4,CACNA1C-AS1
ENSG00000246898,214.3426971975184,2.6552399496480685,0.6452960521424751,1.6541574912379356e-6,1.1171441266698921e-5,LINC00920
ENSG00000247699,33.50400043454666,8.36537822563024,3.540414588195564,7.226053937822836e-5,3.853493559834872e-4,CTB-127C13.1
ENSG00000248019,633.296592598108,1.8690001946981833,0.41741134356665055,3.912922599503651e-7,2.8601755857785626e-6,FAM13A-AS1
ENSG00000248329,557.6735420535521,2.6877325124651725,0.538268874568384,2.731697596678783e-8,2.2743015818524588e-7,APELA
ENSG00000248544,33.70476275245637,8.397831095203678,3.521838603537197,6.373299227520333e-5,3.429428030921142e-4,CTB-47B11.3
ENSG00000249237,199.85969525362447,2.470533761403701,0.7133225745534081,2.1006370587373843e-5,1.2166157536660318e-4,RP11-376N17.4
ENSG00000249334,35.95146598970453,8.573791400732802,3.477973257893647,3.926558613277003e-5,2.1812904769190418e-4,RP11-61G19.1
ENSG00000249352,1373.3605900044702,2.131789131327207,0.2810452826188516,1.914303853077234e-15,2.979416076597719e-14,RP11-141O11.2
ENSG00000249699,49.51596536841619,9.393254720139204,3.307534722469344,1.918941040561478e-6,1.2821749913550172e-5,RP11-415C15.2
ENSG00000250015,39.107633802544534,8.801193448106753,3.423870796223324,1.9277675935828118e-5,1.1221535442474564e-4,CTC-339F2.2
ENSG00000250237,1661.2333415561843,2.342298161328019,0.3436497156322317,5.112145989868138e-13,6.612874939579612e-12,CTC-498J12.1
ENSG00000250522,157.28039356282838,11.734943746687678,3.1418894996828395,6.677486279692273e-14,9.228527519956787e-13,AC004066.3
